iter	AUC	Logloss
256	0.6999362707	0.6626113464
257	0.7004870772	0.6624994263
258	0.7008788586	0.662386411
259	0.7015860081	0.6622175922
260	0.7018689513	0.6621334696
261	0.7022445798	0.662018629
262	0.7027767897	0.6619038405
263	0.7033481002	0.661773667
264	0.7036652565	0.6616893358
265	0.7037625015	0.6616499082
266	0.7038720846	0.661570688
267	0.7041980028	0.6614915721
268	0.7046144903	0.6613968625
269	0.7050003409	0.6612785798
270	0.7052221298	0.6612118241
271	0.7059594691	0.661071585
272	0.7065434456	0.66092999
273	0.7068929076	0.6608166618
274	0.7074049711	0.6607135034
275	0.7080356479	0.6605640333
276	0.7087635994	0.660396414
277	0.7091566324	0.6602814169
278	0.7096130848	0.6601723652
279	0.7098092437	0.6600846963
280	0.7101439238	0.6600018254
281	0.7105025351	0.6599134262
282	0.7108114064	0.6598188209
283	0.7112668753	0.6597123769
284	0.7115381956	0.6596210572
285	0.7118548155	0.6595257218
286	0.7122783661	0.6593993032
287	0.7129632235	0.6592251648
288	0.7131254673	0.6591498561
289	0.7137714624	0.659002785
290	0.7139792442	0.6588954544
291	0.7141727209	0.6588209801
292	0.7145330608	0.6586939878
293	0.7153035402	0.6585322618
294	0.7157317996	0.6584022447
295	0.7163784206	0.6582614841
296	0.7166265845	0.6581786653
297	0.7169305086	0.6580908399
298	0.717086792	0.6580406688
299	0.7171978354	0.6579964432
300	0.717549473	0.6578843667
301	0.7179761529	0.6577768796
302	0.7183022499	0.6577035527
303	0.7187550664	0.6575848527
304	0.7188737392	0.6575402099
305	0.7193356156	0.6573960593
306	0.7199367881	0.6572525346
307	0.7203142643	0.6571423878
308	0.7204891443	0.6570736503
309	0.7209285796	0.6569570886
310	0.7213374376	0.6568348944
311	0.7218061686	0.6567161424
312	0.7221667767	0.6566216935
313	0.7225248814	0.6564845315
314	0.7228806019	0.6563925859
315	0.7230381966	0.6563329231
316	0.7234588861	0.6562150054
317	0.7237685919	0.6561342206
318	0.7239688039	0.6560561478
319	0.7244951427	0.6559418808
320	0.7248866558	0.6558465454
321	0.7252925038	0.6557200225
322	0.7257096469	0.6556094063
323	0.7258706093	0.6555169393
324	0.7262464762	0.6554015771
325	0.726880908	0.6552580003
326	0.7273035049	0.6551473319
327	0.7276319861	0.6550390625
328	0.7278784513	0.6549520194
329	0.7280673385	0.6548670102
330	0.7283374071	0.6547740216
331	0.7287608981	0.6546449433
332	0.7292978764	0.6545134137
333	0.7297372818	0.6543879861
334	0.7298906147	0.6543117907
335	0.7300171852	0.6542469647
336	0.730199039	0.6541377566
337	0.7305186391	0.654042369
338	0.7308420539	0.6539299796
339	0.7311762571	0.6538336532
340	0.7313421369	0.6537457235
341	0.7317104936	0.6536401661
342	0.7318353653	0.6535729932
343	0.73217839	0.653473329
344	0.7323259711	0.6533670936
345	0.7326281965	0.6532802591
346	0.7330963016	0.6531668788
347	0.7334576249	0.6530686227
348	0.7337266207	0.6529756863
349	0.7340060472	0.6528799858
350	0.7345287204	0.6527451706
351	0.734842658	0.6526592227
352	0.7351597548	0.6525442778
353	0.7354772687	0.6524009617
354	0.735840708	0.6522712054
355	0.7360326648	0.652205232
356	0.7364396453	0.6520989444
357	0.7367298603	0.6520205065
358	0.7372394204	0.6518686373
359	0.7375592589	0.651734448
360	0.7378209829	0.6516671187
361	0.7381598949	0.6515728784
362	0.7384310663	0.6514907898
363	0.7388535142	0.6513350092
364	0.7393260598	0.6511951352
365	0.7395930886	0.6511078313
366	0.7399282455	0.6509638894
367	0.7403107882	0.6508352282
368	0.7405979335	0.6507512621
369	0.7410018146	0.6506380904
370	0.7415992916	0.6504983207
371	0.7418336868	0.6504241071
372	0.7422876954	0.65029748
373	0.7428759634	0.6501547376
374	0.7431527078	0.6500834967
375	0.7436103523	0.6499550442
376	0.7439773679	0.6498419246
377	0.7445653677	0.649691255
378	0.7451688051	0.6495605078
379	0.7455153465	0.6494748727
380	0.7460716963	0.6493307744
381	0.7464483976	0.6492111357
382	0.7466592789	0.6491272739
383	0.7471922636	0.6490033586
384	0.7477203608	0.6488704731
385	0.7483648062	0.6487040533
386	0.7485516667	0.648627858
387	0.7490058839	0.6484761453
388	0.7493546605	0.6483727261
389	0.7496828437	0.6482567903
390	0.7498787045	0.6481909734
391	0.7504854798	0.6480297167
392	0.7508870661	0.6479003254
393	0.7514277101	0.6477593562
394	0.751724124	0.6476713743
395	0.7521762252	0.6475280582
396	0.752692759	0.6473636202
397	0.7530344129	0.6472274491
398	0.7535254955	0.6470794914
399	0.7541038394	0.6469310643
400	0.7547293305	0.6467774741
401	0.7552692294	0.64662597
402	0.7558216453	0.6464637225
403	0.7560436726	0.6463429886
404	0.7562791109	0.6462439503
405	0.7566696405	0.6461231642
406	0.7570406795	0.6459816213
407	0.757545054	0.6458258407
408	0.7581284642	0.6456462784
409	0.7585412264	0.645519912
410	0.7588883638	0.6453829064
411	0.7594345212	0.6452711428
412	0.7597377896	0.6451720002
413	0.7601258457	0.6450382281
414	0.7606253028	0.6449079502
415	0.761048913	0.6447766814
416	0.7615861893	0.6446145903
417	0.7620439529	0.6444744555
418	0.7624433637	0.6443542432
419	0.7629291415	0.6442234959
420	0.7634630203	0.6440797104
421	0.7641098499	0.643933213
422	0.7648629546	0.6437590224
423	0.7653277516	0.6435955232
424	0.7657602131	0.6434846983
425	0.7662314177	0.6433162446
426	0.76655972	0.64319937
427	0.7671945691	0.6430181388
428	0.767757833	0.6428638706
429	0.7682948112	0.6427333841
430	0.7686689496	0.6425734834
431	0.7690773606	0.6424485773
432	0.7695488334	0.6422842436
433	0.7698994875	0.6421573556
434	0.7705286741	0.6419687187
435	0.7709159255	0.6418242031
436	0.7714503109	0.6416536111
