iter	Passed	Remaining
702	12801	302189
703	12818	302153
704	12838	302179
705	12860	302232
706	12880	302252
707	12898	302243
708	12917	302244
709	12939	302299
710	12957	302283
711	12975	302258
712	12992	302225
713	13011	302211
714	13030	302206
715	13048	302192
716	13066	302164
717	13085	302158
718	13103	302139
719	13120	302100
720	13139	302100
721	13158	302103
722	13176	302072
723	13193	302036
724	13212	302029
725	13230	301999
726	13248	301980
727	13267	301973
728	13284	301938
729	13304	301966
730	13323	301964
731	13341	301925
732	13360	301928
733	13379	301937
734	13399	301963
735	13422	302042
736	13440	302028
737	13457	301983
738	13474	301937
739	13491	301892
740	13509	301859
741	13528	301851
742	13546	301827
743	13564	301812
744	13582	301794
745	13600	301764
746	13618	301733
747	13636	301714
748	13653	301671
749	13671	301653
750	13688	301606
751	13705	301557
752	13722	301514
753	13741	301500
754	13759	301493
755	13777	301469
756	13795	301437
757	13814	301449
758	13834	301468
759	13852	301427
760	13870	301405
761	13888	301387
762	13906	301358
763	13924	301346
764	13942	301325
765	13961	301310
766	13977	301260
767	13998	301290
768	14016	301271
769	14034	301258
770	14053	301253
771	14072	301247
772	14090	301231
773	14107	301180
774	14124	301143
775	14142	301119
776	14160	301079
777	14177	301041
778	14196	301038
779	14214	301008
780	14233	301024
781	14251	301002
782	14271	301008
783	14288	300979
784	14306	300948
785	14324	300932
786	14343	300923
787	14362	300916
788	14379	300883
789	14398	300870
790	14417	300861
791	14434	300826
792	14453	300822
793	14470	300787
794	14489	300771
795	14506	300739
796	14523	300701
797	14541	300677
798	14559	300654
799	14578	300652
800	14598	300661
801	14618	300679
802	14636	300657
803	14654	300631
804	14671	300586
805	14688	300545
806	14705	300501
807	14726	300535
808	14745	300542
809	14762	300503
810	14781	300502
811	14800	300497
812	14816	300438
813	14835	300420
814	14853	300396
815	14870	300369
816	14889	300355
817	14906	300318
818	14925	300308
819	14944	300306
820	14963	300317
821	14981	300293
822	14998	300250
823	15016	300224
824	15034	300201
825	15051	300164
826	15069	300131
827	15087	300100
828	15105	300082
829	15123	300063
830	15142	300058
831	15161	300051
832	15178	300014
833	15195	299980
834	15214	299965
835	15233	299962
836	15252	299957
837	15269	299925
838	15289	299935
839	15306	299901
840	15325	299894
841	15344	299897
842	15364	299908
843	15382	299882
844	15403	299917
845	15423	299939
846	15443	299949
847	15463	299968
848	15483	299980
849	15504	300020
850	15524	300046
851	15544	300061
852	15565	300096
853	15583	300059
854	15602	300062
855	15622	300084
856	15641	300065
857	15659	300047
858	15678	300040
859	15696	300030
860	15716	300028
861	15735	300026
862	15754	300031
863	15773	300018
864	15792	300012
865	15812	300034
866	15831	300035
867	15850	300023
868	15868	300011
869	15886	299985
870	15904	299961
